DATE_TIME	TIMESTAMP	HEART_RATE	CADENCE	SPEED_SENSOR	SPEED_GPS	SPEED_SMOOTHED	PRESSURE	TEMPERATURE	LATITUDE_6	LONGITUDE_6	ACCURACY_GPS	ALTITUDE_GPS	ALTITUDE_BARO	ALTITUDE_SMOOTHED	DISTANCE_SENSOR	DISTANCE_GPS	BEARING	SLOPE_GPS	SLOPE_SMOOTHED	V_SPEED_GPS	V_SPEED_SMOOTHED
2020-07-13T16:37:42+0200	1594651062732				0.00	0.00			50044351	19954895	17	245.86		245.86		0.00		0.00	0.00	0.00	0.00
2020-07-13T16:38:17+0200	1594651097365	91			0.42	0.45			50044360	19955096	45	246.51		246.51		14.39	86.01	4.52	4.51	1.13	1.22
2020-07-13T16:38:58+0200	1594651138348	80			0.48	0.49			50044463	19954870	23	247.40		247.40		34.18	305.36	4.50	4.48	1.30	1.32
2020-07-13T16:38:59+0200	1594651139353	80			1.51	0.49			50044461	19954849	22	247.47		247.47		35.69	261.56	4.62	4.48	4.18	1.32
2020-07-13T16:39:00+0200	1594651140362	78			0.36	0.49			50044463	19954853	24	247.48		247.48		36.06	52.10	2.76	4.48	0.59	1.32
2020-07-13T16:39:01+0200	1594651141353	78			0.00	0.49			50044463	19954853	26	247.48		247.48		36.06	0.00		4.48	0.00	1.32
2020-07-13T16:39:14+0200	1594651154767	79			2.64	6.22			50044386	19955334	17	249.01		249.01		71.45	104.00	4.32	0.00	6.84	0.00
2020-07-13T16:39:16+0200	1594651156359	79			6.17	4.15			50044460	19955259	19	249.43		249.43		81.27	326.94	4.28	4.12	15.83	8.76
2020-07-13T16:39:17+0200	1594651157381	80			6.31	4.06			50044465	19955169	19	249.69		249.69		87.72	274.94	4.03	4.12	15.26	8.13
2020-07-13T16:39:18+0200	1594651158409	80			1.63	2.90			50044452	19955157	21	249.76		249.76		89.40	210.66	4.17	4.14	4.09	7.60
2020-07-13T16:39:19+0200	1594651159348	80			1.15	2.85			50044451	19955142	17	249.81		249.81		90.48	264.07	4.64	4.12	3.19	6.94
2020-07-13T16:39:20+0200	1594651160372	85			3.63	2.01			50044419	19955157	16	249.96		249.96		94.20	163.25	4.04	4.12	8.79	6.50
2020-07-13T16:39:21+0200	1594651161366	85			1.62	1.93			50044406	19955147	15	250.02		250.02		95.81	206.29	3.72	4.03	3.62	4.84
2020-07-13T16:39:22+0200	1594651162368	90			2.57	1.79			50044406	19955111	13	250.12		250.12		98.38	270.00	3.89	4.04	5.99	4.89
2020-07-13T16:39:23+0200	1594651163398	90			1.42	1.30			50044409	19955091	12	250.18		250.18		99.85	283.15	4.09	4.04	3.50	3.95
2020-07-13T16:39:24+0200	1594651164398	90			1.11	1.25			50044416	19955080	12	250.23		250.23		100.95	314.74	4.52	4.01	3.00	4.00
2020-07-13T16:39:25+0200	1594651165405	92			0.36	1.19			50044418	19955076	11	250.24		250.24		101.31	307.90	2.76	3.99	0.60	4.24
2020-07-13T16:39:26+0200	1594651166391	92			0.71	1.25			50044423	19955082	11	250.27		250.27		102.02	37.62	4.27	3.93	1.83	4.04
2020-07-13T16:39:27+0200	1594651167386	92			1.35	1.39			50044435	19955084	11	250.32		250.32		103.36	6.11	3.73	3.93	3.02	4.34
2020-07-13T16:39:28+0200	1594651168380	92			2.16	1.75			50044453	19955073	10	250.41		250.41		105.51	338.57	4.19	3.95	5.43	4.53
2020-07-13T16:39:29+0200	1594651169369	92			1.81	2.12			50044469	19955076	10	250.48		250.48		107.30	6.87	3.91	3.92	4.25	4.86
